#MPHA.GSTICS.IEEETimeStr	MPQ	MASS	cal
1993-012T20:10:52.600	16.742	32.050	
1993-033T21:19:15.000	16.742	32.050	
1993-012T17:15:50.500	16.190	32.020	
1993-012T17:05:21.300	16.190	32.020	
1993-033T21:12:47.600	16.190	32.020	
1993-012T18:01:21.600	36.773	32.010	
1993-012T17:28:17.600	9.1880	31.940	
1993-012T20:07:33.000	28.121	31.930	
1993-012T20:20:54.600	9.7170	31.910	
1993-033T20:46:28.000	18.357	31.900	
1993-012T17:25:55.400	14.333	31.890	
1993-033T20:26:47.800	14.333	31.890	
1993-012T20:34:37.400	15.093	31.870	
1993-012T20:26:36.400	15.648	31.870	
1993-033T20:30:22.600	16.799	31.820	
1993-012T19:58:19.500	18.596	31.790	
1993-012T17:04:51.100	9.2340	31.780	
1993-012T16:59:15.400	5.8980	31.780	
1993-033T20:32:26.700	6.3680	31.780	
1993-012T17:44:01.100	16.450	31.720	
1993-033T20:21:54.200	13.479	31.720	
1993-012T16:58:54.200	20.092	31.650	
1993-033T20:16:42.500	16.603	31.560	
1993-012T16:56:29.000	16.603	31.560	
1993-033T20:32:44.800	54.665	31.550	
1993-012T17:40:50.600	21.961	31.550	
1993-033T20:37:41.400	9.8730	31.540	
1993-012T20:12:29.500	18.452	31.420	
1993-033T20:06:13.100	19.188	31.390	
1993-033T21:15:12.900	15.514	31.370	
1993-033T20:17:06.700	15.514	31.370	
1993-012T18:16:14.000	12.300	31.310	
1993-033T20:58:13.100	6.0030	31.280	
1993-012T17:18:09.500	15.492	31.250	
1993-012T19:59:04.800	17.900	31.220	
1993-033T20:59:28.700	19.940	31.200	
1993-012T17:25:52.400	9.5830	31.190	
1993-012T16:51:35.700	16.277	31.140	
1993-012T20:25:45.000	12.253	31.120	
1993-033T21:01:05.500	16.465	31.080	
1993-033T20:11:03.600	16.465	31.080	
1993-012T20:34:16.200	15.918	31.030	
1993-012T18:20:43.100	25.173	31.030	
1993-012T16:54:52.300	15.918	31.030	
1993-012T20:00:41.600	17.004	31.020	
1993-012T20:22:07.200	26.917	31.010	
1993-012T18:11:47.800	22.215	30.900	
1993-012T17:35:36.100	15.380	30.880	
1993-012T20:25:23.800	15.380	30.880	
1993-012T17:32:22.500	14.077	30.860	
1993-033T20:57:00.500	5.6910	30.830	
1993-033T20:19:56.200	11.070	30.800	
1993-012T17:26:16.600	17.151	30.800	
1993-012T17:07:46.500	14.462	30.790	
1993-033T20:29:34.200	9.0580	30.750	
1993-012T17:33:35.100	19.788	30.750	
1993-012T17:49:12.600	23.237	30.680	
1993-033T20:24:19.500	16.450	30.680	
1993-012T17:36:00.300	16.327	30.600	
1993-012T17:43:15.800	16.327	30.600	
1993-012T17:11:00.100	16.327	30.600	
1993-012T16:54:52.300	16.327	30.600	
1993-012T20:16:25.400	18.357	30.590	
1993-012T18:25:54.800	18.128	30.590	
1993-012T18:07:45.800	18.128	30.590	
1993-033T20:08:08.100	18.587	30.570	
